"TimeStamp","ComputerName","Message"
"2023-12-14 15:32:38","LAB-HV01","2023-12-14 15:32:38 LAB-HV01: [INFO] [2-Create-HyperV_VM8-withlogging.ps1] Logging works"
"2023-12-14 15:32:39","LAB-HV01","2023-12-14 15:32:39 LAB-HV01: [INFO] [2-Create-HyperV_VM8-withlogging.ps1] Starting main script execution"
"2023-12-14 15:32:39","LAB-HV01","2023-12-14 15:32:39 LAB-HV01: [INFO] [Initialize-HyperVServices] Starting Initialize-HyperVServices function"
"2023-12-14 15:32:39","LAB-HV01","2023-12-14 15:32:39 LAB-HV01: [INFO] [Initialize-HyperVServices] Hyper-V services started"
"2023-12-14 15:32:39","LAB-HV01","2023-12-14 15:32:39 LAB-HV01: [INFO] [Initialize-HyperVServices] Exiting Initialize-HyperVServices function"
"2023-12-14 15:32:39","LAB-HV01","2023-12-14 15:32:39 LAB-HV01: [INFO] [EnsureUntrustedGuardianExists] Checking for the existence of the guardian: UntrustedGuardian"
"2023-12-14 15:32:39","LAB-HV01","2023-12-14 15:32:39 LAB-HV01: [INFO] [EnsureUntrustedGuardianExists] Guardian UntrustedGuardian already exists"
"2023-12-14 15:32:39","LAB-HV01","2023-12-14 15:32:39 LAB-HV01: [INFO] [CreateVMFolder] Starting CreateVMFolder function"
"2023-12-14 15:32:39","LAB-HV01","2023-12-14 15:32:39 LAB-HV01: [INFO] [CreateVMFolder] VM folder created at C:\VM\Test0080-TOGB-EJ_20231214_153239"
"2023-12-14 15:32:39","LAB-HV01","2023-12-14 15:32:39 LAB-HV01: [INFO] [CreateVMFolder] Exiting CreateVMFolder function"
"2023-12-14 15:32:39","LAB-HV01","2023-12-14 15:32:39 LAB-HV01: [INFO] [New-CustomVM] Starting New-CustomVM function"
"2023-12-14 15:32:42","LAB-HV01","2023-12-14 15:32:42 LAB-HV01: [INFO] [New-CustomVM] VM Test0080-TOGB-EJ_20231214_153239 created with dynamic memory"
"2023-12-14 15:32:42","LAB-HV01","2023-12-14 15:32:42 LAB-HV01: [INFO] [New-CustomVM] Exiting New-CustomVM function"
"2023-12-14 15:32:42","LAB-HV01","2023-12-14 15:32:42 LAB-HV01: [INFO] [Add-DVDDriveToVM] Starting Add-DVDDriveToVM function"
"2023-12-14 15:32:43","LAB-HV01","2023-12-14 15:32:43 LAB-HV01: [INFO] [Add-DVDDriveToVM] DVD drive added to Test0080-TOGB-EJ_20231214_153239"
"2023-12-14 15:32:43","LAB-HV01","2023-12-14 15:32:43 LAB-HV01: [INFO] [Add-DVDDriveToVM] Exiting Add-DVDDriveToVM function"
"2023-12-14 15:32:43","LAB-HV01","2023-12-14 15:32:43 LAB-HV01: [INFO] [ConfigureVMBoot] Starting ConfigureVMBoot function"
"2023-12-14 15:32:43","LAB-HV01","2023-12-14 15:32:43 LAB-HV01: [INFO] [ConfigureVMBoot] VM Boot configured for Test0080-TOGB-EJ_20231214_153239"
"2023-12-14 15:32:43","LAB-HV01","2023-12-14 15:32:43 LAB-HV01: [INFO] [ConfigureVMBoot] Exiting ConfigureVMBoot function"
"2023-12-14 15:32:43","LAB-HV01","2023-12-14 15:32:43 LAB-HV01: [INFO] [ConfigureVM] Starting ConfigureVM function"
"2023-12-14 15:32:43","LAB-HV01","2023-12-14 15:32:43 LAB-HV01: [INFO] [ConfigureVM] VM Test0080-TOGB-EJ_20231214_153239 configured"
"2023-12-14 15:32:43","LAB-HV01","2023-12-14 15:32:43 LAB-HV01: [INFO] [ConfigureVM] Exiting ConfigureVM function"
"2023-12-14 15:32:43","LAB-HV01","2023-12-14 15:32:43 LAB-HV01: [INFO] [EnableVMTPM] Starting Enable-VMTPM function"
"2023-12-14 15:32:44","LAB-HV01","2023-12-14 15:32:44 LAB-HV01: [INFO] [EnableVMTPM] TPM enabled for Test0080-TOGB-EJ_20231214_153239"
"2023-12-14 15:32:44","LAB-HV01","2023-12-14 15:32:44 LAB-HV01: [INFO] [EnableVMTPM] Exiting Enable-VMTPM function"
"2023-12-14 15:32:44","LAB-HV01","2023-12-14 15:32:44 LAB-HV01: [INFO] [2-Create-HyperV_VM8-withlogging.ps1] Completed main script execution"
"2023-12-14 15:32:44","LAB-HV01","2023-12-14 15:32:44 LAB-HV01: [INFO] [Export-EventLog] Event log '153237_CreateNewHyperV_VM' exported to 'C:\code\CreateNewHyperV_VM\exports\Logs\LAB-HV01\2023-12-14-15-32-37\153237_CreateNewHyperV_VM-Transcript.evtx'"
