"TimeStamp","ComputerName","Message"
"2023-12-10 17:36:20","LAB-HV01","2023-12-10 17:36:20 LAB-HV01: [INFO] [EnsureUntrustedGuardianExists] Checking for the existence of the guardian: UntrustedGuardian"
"2023-12-10 17:36:21","LAB-HV01","2023-12-10 17:36:21 LAB-HV01: [INFO] [EnsureUntrustedGuardianExists] Guardian UntrustedGuardian already exists"
"2023-12-10 17:36:21","LAB-HV01","2023-12-10 17:36:21 LAB-HV01: [INFO] [CreateVMFolder] Starting CreateVMFolder function"
"2023-12-10 17:36:21","LAB-HV01","2023-12-10 17:36:21 LAB-HV01: [INFO] [CreateVMFolder] VM folder created at C:\VM\Proxmox_v8_1_20231210_173621"
"2023-12-10 17:36:21","LAB-HV01","2023-12-10 17:36:21 LAB-HV01: [INFO] [CreateVMFolder] Exiting CreateVMFolder function"
"2023-12-10 17:36:21","LAB-HV01","2023-12-10 17:36:21 LAB-HV01: [INFO] [New-CustomVM] Starting New-CustomVM function"
"2023-12-10 17:36:24","LAB-HV01","2023-12-10 17:36:24 LAB-HV01: [INFO] [New-CustomVM] VM Proxmox_v8_1_20231210_173621 created"
"2023-12-10 17:36:24","LAB-HV01","2023-12-10 17:36:24 LAB-HV01: [INFO] [New-CustomVM] Exiting New-CustomVM function"
"2023-12-10 17:36:24","LAB-HV01","2023-12-10 17:36:24 LAB-HV01: [INFO] [Add-DVDDriveToVM] Starting Add-DVDDriveToVM function"
"2023-12-10 17:36:24","LAB-HV01","2023-12-10 17:36:24 LAB-HV01: [INFO] [Add-DVDDriveToVM] DVD drive added to Proxmox_v8_1_20231210_173621"
"2023-12-10 17:36:24","LAB-HV01","2023-12-10 17:36:24 LAB-HV01: [INFO] [Add-DVDDriveToVM] Exiting Add-DVDDriveToVM function"
"2023-12-10 17:36:24","LAB-HV01","2023-12-10 17:36:24 LAB-HV01: [INFO] [ConfigureVMBoot] Starting ConfigureVMBoot function"
